scenario,status,evidence_path,observed,expected,notes
sdk_scenario_00-architecture-discovery,BLOCKED,,--no-live-runs flag passed,real ResultMessage observed in transcript.json,live SDK runs disabled
sdk_scenario_01-plan-gap,BLOCKED,,--no-live-runs flag passed,real ResultMessage observed in transcript.json,live SDK runs disabled
sdk_scenario_02-correction-supersedes,BLOCKED,,--no-live-runs flag passed,real ResultMessage observed in transcript.json,live SDK runs disabled
sdk_scenario_03-claim-unverified,BLOCKED,,--no-live-runs flag passed,real ResultMessage observed in transcript.json,live SDK runs disabled
sdk_scenario_04-claim-contradicted,BLOCKED,,--no-live-runs flag passed,real ResultMessage observed in transcript.json,live SDK runs disabled
sdk_scenario_05-dashboard-required,BLOCKED,,--no-live-runs flag passed,real ResultMessage observed in transcript.json,live SDK runs disabled
sdk_scenario_06-review-window,BLOCKED,,--no-live-runs flag passed,real ResultMessage observed in transcript.json,live SDK runs disabled
sdk_scenario_07-hook-candidate,BLOCKED,,--no-live-runs flag passed,real ResultMessage observed in transcript.json,live SDK runs disabled
sdk_scenario_08-malformed-jsonl,BLOCKED,,--no-live-runs flag passed,real ResultMessage observed in transcript.json,live SDK runs disabled
sdk_scenario_09-instruction-ledger,BLOCKED,,--no-live-runs flag passed,real ResultMessage observed in transcript.json,live SDK runs disabled
sdk_scenario_10-plugin-compliance,BLOCKED,,--no-live-runs flag passed,real ResultMessage observed in transcript.json,live SDK runs disabled
sdk_scenario_11-skill-creator-review,BLOCKED,,--no-live-runs flag passed,real ResultMessage observed in transcript.json,live SDK runs disabled
sdk_scenario_12-docs-completeness,BLOCKED,,--no-live-runs flag passed,real ResultMessage observed in transcript.json,live SDK runs disabled
sdk_scenario_13-installed-plugin,BLOCKED,,--no-live-runs flag passed,real ResultMessage observed in transcript.json,live SDK runs disabled
